datetime,event,length
2/11/2024 7:19 PM,cry,12
2/11/2024 7:31 PM,ANC,4
2/11/2024 7:35 PM,sleep,12
2/11/2024 7:47 PM,cry,9
2/11/2024 7:56 PM,sleep,44
2/11/2024 8:40 PM,cry,4
2/11/2024 8:44 PM,ANC,3
2/11/2024 8:47 PM,sleep,73
2/11/2024 10:00 PM,feed,11
2/11/2024 10:11 PM,sleep,189
2/12/2024 1:20 AM,cry,41
2/12/2024 2:01 AM,feed,23
2/12/2024 2:24 AM,sleep,96
2/12/2024 4:00 AM,cry,1
2/12/2024 4:01 AM,sleep,120
2/12/2024 6:01 AM,cry,4
2/12/2024 6:05 AM,feed,18
2/12/2024 6:23 AM,sleep,8